Уровень;Время старта;Расписание;Время;Учитель;Тариф
A1;;СР, ПТ 17:25;Вечірній час;Марія;Тариф “Двічі”
A1;;ПН, СР 9:00;Ранковий час;Катя;Тариф “Двічі”
